id,type,cell,safe,youngest,county,regvoter,gender,rwdirusa,rwdiril,redirlocal,qlife,prim14_party,prim14_rep_gov,prim14_rep_gov_other,fix_deficit_il13,school_consol,school_consol_local,school_pen_local,pen_inccontrib,pen_hccontrib,term_lim,term_leader,cf_lim_leader,prim_nodeclr,redist_hat,redist_neutral,redist_commis,term_resp,term_expert,term_fresh,term_lobby,view_coalind,view_coalmnr,view_siu,view_colstud,view_farmers,view_docs,qual_he,qual_K12,fund_he,fund_hefrom,qual_heimport,qual_heattract,col_orjob,col_qualgo,col_lowincgo,col_moreimp,col_opp,col_kidsopp,col_price4yr,col_pricecc,cclearn,fracking,frack_safe,frack_econ,imp_fed,imp_fedfeel,imp_il,imp_ilfeel,imp_local,imp_localfeel,betteroff_now,betteroff_1yr,betteroff_worsoff,abort_leg,lg_coup_rts,education,ideology,party_aff,whereborn,net_type,net_bbavail,employ_time,employ_type,retired_type,relig_often,relig_type,religion,relig_denom,relig_denom_other,born_again,zip,birth_yr,rac_eth,rac_eth_other,hh_inc
18904,1,1,1, ,16,1,2,2,2,1,3,4, , , , , ,2,3,2,2,2,2,2,3,4,2,2,2,2,5,2,2,2,1,1,2,3,3,2,4,2,1,1,1,1,1,1,1,3,1,1,4,5,3, , , , , , ,2,3, ,3,3,4,4,7,4,3,3,2,5, ,1,1, , , ,1,62263,1993,1, ,9
18996,2, , ,1,6,1,2,1,1,1,2,2, , , , , ,2,1,2,4,4,3,1,4,2,2,4,1,4,1,4,1,1,1,1,1,2,2,2,1,1,1,3,2,1,1,1,1,1,1,2,1,4,2, , , , , , ,3,3, ,1,1,6,3,3,3,4,1,3, , ,2,2, , , , ,62901,1951,1, ,3
19303,2, , ,1,3,1,2,2,2,2,5,2, , , , , ,2,1,2,4,2,3,1,2,2,2,2,2,1,2,2,1,2,2,2,4,2,2,2,5,2,1,1,2,3,1,2,2,2,2,1,2,2,1, , , , , , ,3,3, ,2,1,3,2,3,1,5,1,5, , ,5, ,1, , ,2,62984,1957,1, ,1
18929,1,1,1, ,18,1,2,2,2,1,2,1,6, , , , ,1,1,1,1,2,4,1,4,1,1,3,1,4,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,3,1,2,2,1,1,1,1,1,1, , , , , , ,3,3, ,3,3,2,5,7,2,5,1,3, , ,1,1, , , ,2,62948,1942,1, ,1
18800,1,1,1, ,15,1,2,2,1,1,3,3, , , , , ,2,2,2,1,1,1,3,3,3,2,2,3,2,2,2,2,2,2,1,2,2,2,1,5,2,3,1,1,2,1,1,1,1,1,1,3,2,2, , , , , , ,3,1, ,2,2,5,4,2,1,4,1,1,3, ,2,1, , , ,5,62906,1982,1, ,6
19065,2, , ,1,2,1,1,2,2,1,3,4, , , , , ,2,1,1,3,1,1,1,4,1,1,4,3,3,1,1,1,1,1,1,1,2,2,2,3,2,1,1,2,3,1,1,1,2,1,1,1,5,3, , , , , , ,3,2, ,2,4,5,4,6,1,2,1,2,1, ,1,1, , , ,2,62891,1949,1, ,5
2201,2, , ,1,9,1,2,2,2,2,3,2, , , , , ,2,2,2,2,1,1,2,3,1,4,1,4,1,2,5,2,2,2,1,2,3,2,2,1,1,1,2,2,1,2,2,2,2,2,1,3,3,2, , , , , , ,2,1, ,2,1,3,2,3,1,3,1,1,4, ,4, ,1, , ,7,62960,1974,1, ,2
18950,1,1,1, ,14,1,2,2,2,1,2,3, , , , , ,2,2,2,1,1,1,1,4,1,1,1,4,1,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,1,1,3,2,3,1,1,2,2,1, , , , , , ,3,3, ,3,2,5,3,2,1,1,1,3, , ,4, ,1, , ,1,62946,1943,1, ,5
18998,1,1,1, ,14,1,1,2,2,1,4,2, , , , , ,2,1,2,1,1,1,1,4,2,2,1,4,2,4,3,2,2,2,2,2,3,2,2,4,2,3,1,2,1,1,1,1,3,1,1,2,3,2, , , , , , ,1,3, ,2,3,2,4,5,3,4,1,1,4, ,1,1, , , ,2,62930,1940,1, ,4
19323,2, , ,1,6,1,2,3,1,2,3,2, , , , , ,2,1,1,4,5,4,1,4,1,1,1,1,1,1,2,1,2,2,2,2,3,2,1,1,2,3,1,3,1,1,1,1,1,1,1,3,2,3, , , , , , ,4,1, ,3,3,1,1,1,2,5,1,4, , ,4, ,1, , ,5,62907,1928,1, ,9
18951,1,1,1, ,2,1,2,2,2,2,4,2, , , , , ,2,2,2,1,1,1,1,5,1,5,1,4,1,4,2,2,2,2,2,2,3,2,2,1,2,1,2,2,4,1,1,2,1,1,1,2,3,2, , , , , , ,3,3, ,2,2,6,4,5,2,4,2,3, , ,3,1, , , ,5,62865,1945,1, ,5
19231,2, , ,1,4,1,1,2,2,2,3,4, , , , , ,3,2,2,1,4,1,1,5,4,4,2,3,1,3,1,1,3,1,1,2,2,2,2,4,3,3,2,2,3,2,2,2,2,2,1,1,2,1, , , , , , ,2,2, ,3,3,3,4,5,1,6,1,3, , ,1,1, , , ,2,62817,1951,1, ,3
17230,2, , ,1,16,1,2,1,2,1,2,2, , , , , ,1,1,1,1,3,4,1,3,2,2,2,2,2,4,2,2,2,2,2,2,3,2,2,1,2,3,1,2,1,1,2,2,2,1,1,2,2,2, , , , , , ,1,1, ,2,1,3,1,1,1,3,3,3, , ,1,1, , , ,1,62263,1938,9, ,1
18937,2, , ,1,6,1,2,2,2,2,3,4, , , , , ,1,1,1,4,1,4,1,4,1,4,1,4,1,4,2,2,3,5,2,2,4,3,1,2,3,3,2,1,3,2,2,2,2,1,1,1,1,1, , , , , , ,4,3, ,3,2,2,5,9,4,3,3,3, , ,1,1, , , ,1,62901,1942,1, ,9
19104,2, , ,1,13,1,1,2,2,2,3,3, , , , , ,1,1,2,4,1,1,1,4,4,1,4,4,4,4,1,1,3,3,1,2,5,5,1,2,4,3,2,1,2,2,1,1,2,2,1,1,2,2, , , , , , ,1,1, ,3,4,6,5,5,1,2,1,1,1, ,5, ,1, , ,5,62278,1950,1, ,6
3871,2, , ,1,13,1,1,2,2,2,2,1,6, , , , ,1,3,2,3,2,3,5,3,3,3,5,2,1,1,2,2,3,6,2,2,3,6,1,4,3,3,3,1,2,1,1,1,2,2,5,2,2,1, , , , , , ,2,2, ,3,3,5,5,7,1,4,2,4, , ,1,1, , , ,1,62286,1950,1, ,9
17938,1,1,1, ,18,1,2,2,2,2,4,4, , , , , ,3,3,2,2,1,4,1,4,4,4,1,5,2,3,2,2,6,2,2,2,4,4,2,4,3,1,1,2,4,1,1,4,2,2,5,2,5,3, , , , , , ,1,1, ,3,3,3,5,9,1,5,1,1,4, ,3,1, , , ,2,99999,9999,1, ,9
19321,2, , ,1,18,1,2,2,2,3,3,4, , , , , ,3,3,1,1,1,1,1,4,2,1,1,3,2,5,5,2,5,2,2,5,3,3,3,3,6,1,3,2,1,3,1,1,3,3,5,3,5,3, , , , , , ,3,3, ,2,3,3,5,5,3,5,2,3, , ,1,1, , , ,4,62948,1934,1, ,9
