Data subject to revision,,,,,,,,,,,,,,,,,,,,
scroll down to see earlier years,,,,,,,,,,,,,,,,,,,,
,,,LABOR,,       UNEMPLOYED,,,,,,,,,,,,,,,
COUNTY,FIPS,YEAR,FORCE,EMPLOYED,NUMBER,RATE,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
WINNEBAGO COUNTY,201,1980,"123,645","111,673","11,972",9.7,,,,,,,,,,,,,,
WOODFORD COUNTY,203,1980,"15,724","14,843",881,5.6,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ADAMS COUNTY,1,1979,"32,175","30,417","1,758",5.5,,,,,,,,,,,,,,
ALEXANDER COUNTY,3,1979,"4,542","3,887",655,14.4,,,,,,,,,,,,,,
BOND COUNTY,5,1979,"6,026","5,602",424,7.0,,,,,,,,,,,,,,
BOONE COUNTY,7,1979,"13,735","13,085",650,4.7,,,,,,,,,,,,,,
BROWN COUNTY,9,1979,"2,421","2,316",105,4.3,,,,,,,,,,,,,,
BUREAU COUNTY,11,1979,"17,437","16,624",813,4.7,,,,,,,,,,,,,,
CALHOUN COUNTY,13,1979,"2,281","1,971",310,13.6,,,,,,,,,,,,,,
CARROLL COUNTY,15,1979,"9,780","9,412",368,3.8,,,,,,,,,,,,,,
CASS COUNTY,17,1979,"7,288","6,906",382,5.2,,,,,,,,,,,,,,
CHAMPAIGN COUNTY,19,1979,"80,098","76,617","3,481",4.3,,,,,,,,,,,,,,
CHRISTIAN COUNTY,21,1979,"15,434","14,558",876,5.7,,,,,,,,,,,,,,
CLARK COUNTY,23,1979,"6,719","6,285",434,6.5,,,,,,,,,,,,,,
CLAY COUNTY,25,1979,"5,848","5,302",546,9.3,,,,,,,,,,,,,,
CLINTON COUNTY,27,1979,"13,883","13,002",881,6.3,,,,,,,,,,,,,,
COLES COUNTY,29,1979,"25,680","24,302","1,378",5.4,,,,,,,,,,,,,,
COOK COUNTY,31,1979,"2,544,127","2,403,198","140,929",5.5,,,,,,,,,,,,,,
CRAWFORD COUNTY,33,1979,"9,607","9,029",578,6.0,,,,,,,,,,,,,,
CUMBERLAND COUNTY,35,1979,"5,613","5,257",356,6.3,,,,,,,,,,,,,,
DeKALB COUNTY,37,1979,"40,220","38,694","1,526",3.8,,,,,,,,,,,,,,
DeWITT COUNTY,39,1979,"9,115","8,696",419,4.6,,,,,,,,,,,,,,
DOUGLAS COUNTY,41,1979,"10,421","10,026",395,3.8,,,,,,,,,,,,,,
DuPAGE COUNTY,43,1979,"283,316","273,214","10,102",3.6,,,,,,,,,,,,,,
