Data subject to revision,,,,,,,,,,,,,,,,,,,,
scroll down to see earlier years,,,,,,,,,,,,,,,,,,,,
,,,LABOR,,       UNEMPLOYED,,,,,,,,,,,,,,,
COUNTY,FIPS,YEAR,FORCE,EMPLOYED,NUMBER,RATE,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
DEKALB COUNTY,37,2003,"51,256","48,330","2,926",5.7,,,,,,,,,,,,,,
DE WITT COUNTY,39,2003,"8,132","7,602",530,6.5,,,,,,,,,,,,,,
DOUGLAS COUNTY,41,2003,"10,406","9,859",547,5.3,,,,,,,,,,,,,,
DUPAGE COUNTY,43,2003,"512,204","483,622","28,582",5.6,,,,,,,,,,,,,,
EDGAR COUNTY,45,2003,"9,952","9,353",599,6.0,,,,,,,,,,,,,,
EDWARDS COUNTY,47,2003,"3,461","3,289",172,5.0,,,,,,,,,,,,,,
EFFINGHAM COUNTY,49,2003,"17,448","16,421","1,027",5.9,,,,,,,,,,,,,,
FAYETTE COUNTY,51,2003,"9,840","9,075",765,7.8,,,,,,,,,,,,,,
FORD COUNTY,53,2003,"7,125","6,755",370,5.2,,,,,,,,,,,,,,
FRANKLIN COUNTY,55,2003,"17,080","15,579","1,501",8.8,,,,,,,,,,,,,,
FULTON COUNTY,57,2003,"17,139","15,802","1,337",7.8,,,,,,,,,,,,,,
GALLATIN COUNTY,59,2003,"2,687","2,452",235,8.7,,,,,,,,,,,,,,
GREENE COUNTY,61,2003,"6,939","6,522",417,6.0,,,,,,,,,,,,,,
GRUNDY COUNTY,63,2003,"21,161","19,458","1,703",8.0,,,,,,,,,,,,,,
HAMILTON COUNTY,65,2003,"3,916","3,640",276,7.0,,,,,,,,,,,,,,
HANCOCK COUNTY,67,2003,"10,171","9,458",713,7.0,,,,,,,,,,,,,,
HARDIN COUNTY,69,2003,"1,896","1,730",166,8.8,,,,,,,,,,,,,,
HENDERSON COUNTY,71,2003,"3,994","3,703",291,7.3,,,,,,,,,,,,,,
HENRY COUNTY,73,2003,"26,167","24,602","1,565",6.0,,,,,,,,,,,,,,
IROQUOIS COUNTY,75,2003,"15,767","14,822",945,6.0,,,,,,,,,,,,,,
JACKSON COUNTY,77,2003,"30,608","28,958","1,650",5.4,,,,,,,,,,,,,,
JASPER COUNTY,79,2003,"5,098","4,752",346,6.8,,,,,,,,,,,,,,
JEFFERSON COUNTY,81,2003,"19,149","17,960","1,189",6.2,,,,,,,,,,,,,,
JERSEY COUNTY,83,2003,"10,988","10,347",641,5.8,,,,,,,,,,,,,,
JO DAVIESS COUNTY,85,2003,"12,344","11,657",687,5.6,,,,,,,,,,,,,,
JOHNSON COUNTY,87,2003,"4,938","4,600",338,6.8,,,,,,,,,,,,,,
KANE COUNTY,89,2003,"238,534","222,593","15,941",6.7,,,,,,,,,,,,,,
KANKAKEE COUNTY,91,2003,"51,211","47,472","3,739",7.3,,,,,,,,,,,,,,
KENDALL COUNTY,93,2003,"37,374","35,219","2,155",5.8,,,,,,,,,,,,,,
KNOX COUNTY,95,2003,"25,870","23,866","2,004",7.7,,,,,,,,,,,,,,
LAKE COUNTY,97,2003,"341,104","321,483","19,621",5.8,,,,,,,,,,,,,,
LASALLE COUNTY,99,2003,"54,081","49,889","4,192",7.8,,,,,,,,,,,,,,
LAWRENCE COUNTY,101,2003,"8,162","7,668",494,6.1,,,,,,,,,,,,,,
LEE COUNTY,103,2003,"17,156","16,086","1,070",6.2,,,,,,,,,,,,,,
LIVINGSTON COUNTY,105,2003,"18,590","17,516","1,074",5.8,,,,,,,,,,,,,,
LOGAN COUNTY,107,2003,"13,256","12,364",892,6.7,,,,,,,,,,,,,,
MCDONOUGH COUNTY,109,2003,"16,143","15,200",943,5.8,,,,,,,,,,,,,,
MCHENRY COUNTY,111,2003,"158,544","149,079","9,465",6.0,,,,,,,,,,,,,,
MCLEAN COUNTY,113,2003,"85,369","81,892","3,477",4.1,,,,,,,,,,,,,,
MACON COUNTY,115,2003,"51,487","47,547","3,940",7.7,,,,,,,,,,,,,,
MACOUPIN COUNTY,117,2003,"23,812","22,242","1,570",6.6,,,,,,,,,,,,,,
MADISON COUNTY,119,2003,"131,111","123,036","8,075",6.2,,,,,,,,,,,,,,
MARION COUNTY,121,2003,"18,313","16,626","1,687",9.2,,,,,,,,,,,,,,
MARSHALL COUNTY,123,2003,"6,694","6,311",383,5.7,,,,,,,,,,,,,,
MASON COUNTY,125,2003,"7,624","7,004",620,8.1,,,,,,,,,,,,,,
MASSAC COUNTY,127,2003,"7,105","6,659",446,6.3,,,,,,,,,,,,,,
MENARD COUNTY,129,2003,"6,679","6,361",318,4.8,,,,,,,,,,,,,,
MERCER COUNTY,131,2003,"8,535","7,932",603,7.1,,,,,,,,,,,,,,
MONROE COUNTY,133,2003,"16,079","15,335",744,4.6,,,,,,,,,,,,,,
MONTGOMERY COUNTY,135,2003,"13,184","12,037","1,147",8.7,,,,,,,,,,,,,,
MORGAN COUNTY,137,2003,"17,845","16,805","1,040",5.8,,,,,,,,,,,,,,
MOULTRIE COUNTY,139,2003,"7,224","6,824",400,5.5,,,,,,,,,,,,,,
OGLE COUNTY,141,2003,"25,517","23,758","1,759",6.9,,,,,,,,,,,,,,
PEORIA COUNTY,143,2003,"87,735","82,075","5,660",6.5,,,,,,,,,,,,,,
PERRY COUNTY,145,2003,"10,337","9,522",815,7.9,,,,,,,,,,,,,,
PIATT COUNTY,147,2003,"8,876","8,433",443,5.0,,,,,,,,,,,,,,
PIKE COUNTY,149,2003,"8,372","7,867",505,6.0,,,,,,,,,,,,,,
POPE COUNTY,151,2003,"1,906","1,749",157,8.2,,,,,,,,,,,,,,
PULASKI COUNTY,153,2003,"2,990","2,707",283,9.5,,,,,,,,,,,,,,
PUTNAM COUNTY,155,2003,"3,014","2,793",221,7.3,,,,,,,,,,,,,,
RANDOLPH COUNTY,157,2003,"15,132","14,210",922,6.1,,,,,,,,,,,,,,
RICHLAND COUNTY,159,2003,"7,234","6,728",506,7.0,,,,,,,,,,,,,,
ROCK ISLAND COUNTY,161,2003,"74,394","69,932","4,462",6.0,,,,,,,,,,,,,,
ST. CLAIR COUNTY,163,2003,"117,650","109,343","8,307",7.1,,,,,,,,,,,,,,
SALINE COUNTY,165,2003,"11,968","11,056",912,7.6,,,,,,,,,,,,,,
SANGAMON COUNTY,167,2003,"101,339","95,863","5,476",5.4,,,,,,,,,,,,,,
SCHUYLER COUNTY,169,2003,"4,115","3,884",231,5.6,,,,,,,,,,,,,,
SCOTT COUNTY,171,2003,"2,840","2,664",176,6.2,,,,,,,,,,,,,,
SHELBY COUNTY,173,2003,"11,075","10,371",704,6.4,,,,,,,,,,,,,,
STARK COUNTY,175,2003,"2,733","2,524",209,7.6,,,,,,,,,,,,,,
STEPHENSON COUNTY,177,2003,"24,655","22,910","1,745",7.1,,,,,,,,,,,,,,
TAZEWELL COUNTY,179,2003,"64,755","60,985","3,770",5.8,,,,,,,,,,,,,,
UNION COUNTY,181,2003,"8,198","7,553",645,7.9,,,,,,,,,,,,,,
